row_id,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
156,157,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,3 patients,al_pn-3b
157,158,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals, ,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,5 patients,al_pn-4
158,159,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,5 patients,al_pn-5c
159,160,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals, ,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),100%,5 patients,al_pn-6
160,161,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,97%,3 patients,al_pn-7
161,162,10009,hartselle medical center,201 pine street northwest,empty,empty, ,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,3 patients,al_scip-card-2
162,163,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,6 patients,al_scip-inf-1
163,164,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,00000,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,57%,6 patients,al_scip-inf-2
164,165,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),80%,5 patients,al_scip-inf-3
165,166,10009,hartselle medical center,201 pine street northwest,empty,empty, ,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
166,167,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,1 patients,al_scip-inf-6
167,168,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,00000,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,78%,6 patients,al_scip-vte-1
168,169,10009,hartselle medical center,201 pine street northwest,empty,empty,hartselle,la,35640,morgan,2567736511.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,78%,6 patients,al_scip-vte-2
169,170,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,6 patients,al_ami-1
170,171,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,la,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,100%,6 patients,al_ami-2
171,172,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,00000,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),50%,2 patients,al_ami-3
172,173,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,00000,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,2 patients,al_ami-4
173,174,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,83%,6 patients,al_ami-5
174,175,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority, ,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
175,176,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville, ,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
176,177,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,93%,5 patients,al_hf-1
177,178,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,00000,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,84%,0 patients,al_hf-2
178,179,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,2 patients,al_hf-3
179,180,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,49304,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,10 patients,al_hf-4
180,181,10010,marshall medical center south,8000 alabama highway 69,empty,empty, ,al,35976,marshall,2565718000.0,acute care hospitals, ,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,2 patients,al_pn-2
181,182,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,94%,15 patients,al_pn-3b
182,183,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,94%,6 patients,al_pn-4
183,184,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,15 patients,al_pn-5c
184,185,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),93%,3 patients,al_pn-6
185,186,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,la,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,90%,10 patients,al_pn-7
186,187,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86%,4 patients,al_scip-card-2
187,188,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,unknown,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,95%,6 patients,al_scip-inf-1
188,189,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,6 patients,al_scip-inf-2
189,190,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,6 patients,al_scip-inf-3
190,191,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
191,192,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,15 patients,al_scip-inf-6
192,193,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville, ,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,6 patients,al_scip-vte-1
193,194,10010,marshall medical center south,8000 alabama highway 69,empty,empty,guntersville,al,35976,marshall,2565718000.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,84%,6 patients,al_scip-vte-2
194,195,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,unknown,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,99%,4 patients,al_ami-1
195,196,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,38112,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,96%,5 patients,al_ami-2
196,197,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,0 patients,al_ami-3
197,198,10011,st vincents east,50 medical park east drive,empty,empty,birmingham, ,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,3 patients,al_ami-4
198,199,10011,ST VINCENTs east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,2 patients,al_ami-5
199,200,10011,st vincents east,50 medical park east drive,empty,empty, ,la,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
200,201,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,85%,4 patients,al_ami-8a
201,202,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,94%,6 patients,al_hf-1
202,203,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,3 patients,al_hf-2
203,204,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98%,10 patients,al_hf-3
204,205,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,Unknown,00000,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,6 patients,al_hf-4
205,206,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,15 patients,al_pn-2
206,207,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,3 patients,al_pn-3b
207,208,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,6 patients,al_pn-4
208,209,10011,  st vincents east ,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,15 patients,al_pn-5c
209,210,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),91%,2 patients,al_pn-6
210,211,10011,st vinceents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,unknown,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,85%,6 patients,al_pn-7
211,212,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,83%,15 patients,al_scip-card-2
212,213,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,6 patients,al_scip-inf-1
213,214,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,4 patients,al_scip-inf-2
214,215,10011,st vincents east,50 medical park east drive,empty,empty,unknown,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),81%,4 patients,al_scip-inf-3
215,216,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,60%,2 patients,al_scip-inf-4
216,217,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private, ,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,6 patients,al_scip-inf-6
217,218,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89%,2 patients,al_scip-vte-1
218,219,10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,4 patients,al_scip-vte-2
219,220,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,6 patients,al_ami-1
220,221,10012,riverview regional medical center,200 med center drive,empty,empty,FORT PAYNe,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,95%,3 patients,al_ami-2
221,222,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,1 patients,al_ami-3
222,223,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
223,224,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,95%,4 patients,al_ami-5
224,225,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,1 patients,al_ami-7a
225,226,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,51302,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,40%,5 patients,al_ami-8a
226,227,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,6 patients,al_hf-1
227,228,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,4 patients,al_hf-2
228,229,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,6 patients,al_hf-3
229,230,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,00000,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church, ,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,15 patients,al_hf-4
230,231,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church, ,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,6 patients,al_pn-2
231,232,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,1 patients,al_pn-3b
232,233,10012,riverview regional medical center,200 med center drive,empty,empty, ,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,3 patients,al_pn-4
233,234,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,6 patients,al_pn-5c
234,235,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,2 patients,al_pn-6
235,236,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,98%,6 patients,al_pn-7
236,237,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,unknown,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,6 patients,al_scip-card-2
237,238,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,3 patients,al_scip-inf-1
238,239,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,00000,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,4 patients,al_scip-inf-2
239,240,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,unknown,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98%,6 patients,al_scip-inf-3
240,241,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
241,242,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,1 patients,al_scip-inf-6
242,243,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals, ,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,0 patients,al_scip-vte-1
243,244,10012,riverview regional medical center,200 med center drive,empty,empty,fort payne,al,35968,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,97%,0 patients,al_scip-vte-2
244,245,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,empty,0 patients,al_ami-1
245,246,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,empty,0 patients,al_ami-2
246,247,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,al_ami-3
247,248,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
248,249,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,unknown,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,empty,0 patients,al_ami-5
249,250,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
250,251,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,la,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
251,252,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-1,heart failure patients given discharge instructions,100%,6 patients,al_hf-1
252,253,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,89%,1 patients,al_hf-2
253,254,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,5 patients,al_hf-3
254,255,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,88%,1 patients,al_hf-4
255,256,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville, ,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,92%,5 patients,al_pn-2
256,257,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,4 patients,al_pn-3b
257,258,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,6 patients,al_pn-4
258,259,10015,southwest alabama medical center,33700 highway 43,empty,empty,Na,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,4 patients,al_pn-5c
259,260,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),100%,6 patients,al_pn-6
260,261,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,la,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,92%,4 patients,al_pn-7
261,262,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,al,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
262,263,10015,southwest alabama medical center,33700 highway 43,empty,empty,guntersville,la,36784,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,86%,4 patients,al_scip-inf-1
